304;gekraagde roodstaart;GekRoods;gekraagde roodstaart
305;paapje;Paap;paapje
306;roodborsttapuit;Robotap;roodborsttapuit
307;tapuit;Tapuit;tapuit
314;beflijster;Beflijst;beflijster
315;merel;Merel;merel
323;kramsvogel;Krams;kramsvogel
324;zanglijster;Zangl;zanglijster
325;koperwiek;Koperw;koperwiek
326;grote lijster;GrLijster;grote lijster
327;cetti's zanger;Cetti's Zanger;cetti's zanger
328;graszanger;Graszanger;graszanger
330;sprinkhaanzanger;Sprinkhza;sprinkhaanzanger
332;snor;Snor;snor
334;rietzanger;Rietz;rietzanger
336;bosrietzanger;Bosrietz;bosrietzanger
337;kleine karekiet;KlKar;kleine karekiet
338;grote karekiet;GroteKar;grote karekiet
340;spotvogel;Spotvogel;spotvogel
346;sperwergrasmus;Sperwrgrmus;sperwergrasmus
347;braamsluiper;Braamsl;braamsluiper
348;grasmus;Grasmus;grasmus
349;tuinfluiter;Tuinfl;tuinfluiter
350;zwartkop;ZwartKop;zwartkop
358;fluiter;Fluiter;fluiter
359;tjiftjaf;Tjiftjaf;tjiftjaf
361;fitis;Fitis;fitis
363;goudhaan;Goudh;goudhaan
364;vuurgoudhaan;Vuurgoudh;vuurgoudhaan
365;grauwe vliegenvanger;GrVlieg;grauwe vliegenvanger
368;bonte vliegenvanger;BonteVlieg;bonte vliegenvanger
369;baardman;Baard;baardman
370;staartmees;Staartm;staartmees
373;matkop;Matkop;matkop
374;kuifmees;Kuifmees;kuifmees
375;zwarte mees;ZwMees;zwarte mees
376;pimpelmees;Pimpel;pimpelmees
377;koolmees;Kool;koolmees
381;buidelmees;Buidelm;buidelmees
382;wielewaal;Wielew;wielewaal
383;grauwe klauwier;Grauwe Klauwier;grauwe klauwier
385;klapekster;Klapeks;klapekster
387;gaai;Gaai;gaai
388;ekster;Ekster;ekster
389;notenkraker;Notenkr;notenkraker
391;kauw;Kauw;kauwtjes;co;kootjes
393;roek;Roek;roek
394;zwarte kraai;ZwKraai;zwarte kraai
395;bonte kraai;BonteKr;bonte kraai
396;raaf;Raaf;raaf
397;spreeuw;Spreeuw;spreeuiw
399;huismus;Huismus;huismus
400;ringmus;Ringmus;ringmus
402;vink;Vink;fink
403;keep;Keep;keep
404;europese kanarie;EuroKan;europese kanarie
405;groenling;Groenl;groenling
406;putter;Putter;putter
407;sijs;Sijs;sijsje;sijsjes;safe;feestje
408;kneu;Kneu;kneutjes;kneus;nu
409;frater;Frater;frater
410;barmsijs spec;BarmSpec;barmsijs spec.
412;kleine barmsijs;KlBarm;kleine barmsijs
415;kruisbek;Kruisb;kruisbek
419;goudvink;Goudv;goudvink
421;appelvink;Appelv;appelvink
425;ijsgors;IJsgors;ijsgors
426;sneeuwgors;SneeuwGrs;sneeuwgors
429;geelgors;Geelgors;geelgors
435;dwerggors;Dwerggors;dwerggors
438;rietgors;Rietg;rietgors
440;grauwe gors;GrGors;grauwe gors
443;oeverpieper;Oeverp;oeverpieper
444;pontische meeuw;PontMeeu;pontische meeuw
445;geelpootmeeuw;Geelpmeeu;geelpootmeeuw
446;tjiftjaf of fitis;Tjif/Fitis;tjiftjaf of fitis
447;noordse stern of visdief;Nrdse/Dief;novi;vino;novy;noordse star nog visdief;logi;movie;pino
448;Zwarte Zwaan;Zwarte Zwaan;zwarte zwaan
453;alk of zeekoet;Alk/Zeekoet;alk of zeekoet
454;Vale Pijlstormvogel;ValePijl;vale pijlstormvogel
455;jager spec;JagerSpec;jager spec.
457;duiker spec;DuikSpec;duiker spec.
472;Koninginnepage;Koninginnepage;koninginnepage
482;fuut spec.;fuut spec.;fuut spec.
500;stormvogeltje spec;StormVoSpec;stormvogeltje spec
526;reiger spec;ArdeaSpec;reiger (ardea) spec.
