277;boompieper;Boomp;;;;;;;;;;;;;;;;;;;
278;graspieper;Grasp;graspier;gras pieper;graspoeper;;;;;;;;;;;;;;;;
279;roodkeelpieper;Roodkpiep;;;;;;;;;;;;;;;;;;;
280;waterpieper;Waterp;;;;;;;;;;;;;;;;;;;
281;gele kwikstaart spec;GeleKwikSpec;;;;;;;;;;;;;;;;;;;
282;gele kwikstaart;GeleKwik;gele kwik;gele quick;heerlijk wegstart;;;;;;;;;;;;;;;;
283;engelse kwikstaart;EngGele;;;;;;;;;;;;;;;;;;;
284;noordse kwikstaart;NrdseKwik;;;;;;;;;;;;;;;;;;;
287;grote gele kwikstaart;GrGeleKw;grote gele;grote gele quick;grote heerlijk wegstaart;grote gele kwekstaart;;;;;;;;;;;;;;;
288;witte kwikstaart spec;WitKwiSpec;;;;;;;;;;;;;;;;;;;
289;witte kwikstaart;WitteKwik;;;;;;;;;;;;;;;;;;;
290;rouwkwikstaart;RouwKwik;;;;;;;;;;;;;;;;;;;
291;pestvogel;Pestv;;;;;;;;;;;;;;;;;;;
293;winterkoning;Winterk;;;;;;;;;;;;;;;;;;;
294;heggenmus;Heggen;;;;;;;;;;;;;;;;;;;
296;roodborst;Roodborst;;;;;;;;;;;;;;;;;;;
298;nachtegaal;Nachtegaal;;;;;;;;;;;;;;;;;;;
299;blauwborst;BlaBorst;;;;;;;;;;;;;;;;;;;
303;zwarte roodstaart;ZwRoods;;;;;;;;;;;;;;;;;;;
304;gekraagde roodstaart;GekRoods;;;;;;;;;;;;;;;;;;;
305;paapje;Paap;;;;;;;;;;;;;;;;;;;
306;roodborsttapuit;Robotap;;;;;;;;;;;;;;;;;;;
307;tapuit;Tapuit;;;;;;;;;;;;;;;;;;;
314;beflijster;Beflijst;;;;;;;;;;;;;;;;;;;
315;merel;Merel;;;;;;;;;;;;;;;;;;;
323;kramsvogel;Krams;;;;;;;;;;;;;;;;;;;
324;zanglijster;Zangl;;;;;;;;;;;;;;;;;;;
325;koperwiek;Koperw;;;;;;;;;;;;;;;;;;;
326;grote lijster;GrLijster;;;;;;;;;;;;;;;;;;;
327;cetti's zanger;Cetti's Zanger;;;;;;;;;;;;;;;;;;;
328;graszanger;Graszanger;;;;;;;;;;;;;;;;;;;
330;sprinkhaanzanger;Sprinkhza;;;;;;;;;;;;;;;;;;;
332;snor;Snor;;;;;;;;;;;;;;;;;;;
334;rietzanger;Rietz;;;;;;;;;;;;;;;;;;;
336;bosrietzanger;Bosrietz;;;;;;;;;;;;;;;;;;;
337;kleine karekiet;KlKar;;;;;;;;;;;;;;;;;;;
338;grote karekiet;GroteKar;;;;;;;;;;;;;;;;;;;
340;spotvogel;Spotvogel;;;;;;;;;;;;;;;;;;;
346;sperwergrasmus;Sperwrgrmus;;;;;;;;;;;;;;;;;;;
347;braamsluiper;Braamsl;;;;;;;;;;;;;;;;;;;
348;grasmus;Grasmus;;;;;;;;;;;;;;;;;;;
349;tuinfluiter;Tuinfl;;;;;;;;;;;;;;;;;;;
350;zwartkop;ZwartKop;;;;;;;;;;;;;;;;;;;
358;fluiter;Fluiter;;;;;;;;;;;;;;;;;;;
359;tjiftjaf;Tjiftjaf;;;;;;;;;;;;;;;;;;;
361;fitis;Fitis;;;;;;;;;;;;;;;;;;;
363;goudhaan;Goudh;;;;;;;;;;;;;;;;;;;
364;vuurgoudhaan;Vuurgoudh;;;;;;;;;;;;;;;;;;;
365;grauwe vliegenvanger;GrVlieg;;;;;;;;;;;;;;;;;;;
368;bonte vliegenvanger;BonteVlieg;;;;;;;;;;;;;;;;;;;
369;baardman;Baard;;;;;;;;;;;;;;;;;;;
370;staartmees;Staartm;;;;;;;;;;;;;;;;;;;
373;matkop;Matkop;;;;;;;;;;;;;;;;;;;
374;kuifmees;Kuifmees;;;;;;;;;;;;;;;;;;;
375;zwarte mees;ZwMees;;;;;;;;;;;;;;;;;;;
376;pimpelmees;Pimpel;;;;;;;;;;;;;;;;;;;
377;koolmees;Kool;;;;;;;;;;;;;;;;;;;
381;buidelmees;Buidelm;;;;;;;;;;;;;;;;;;;
382;wielewaal;Wielew;;;;;;;;;;;;;;;;;;;
383;grauwe klauwier;Grauwe Klauwier;;;;;;;;;;;;;;;;;;;
385;klapekster;Klapeks;;;;;;;;;;;;;;;;;;;
387;gaai;Gaai;;;;;;;;;;;;;;;;;;;
388;ekster;Ekster;;;;;;;;;;;;;;;;;;;
389;notenkraker;Notenkr;;;;;;;;;;;;;;;;;;;
391;kauw;Kauw;kauwtjes;co;kootjes;;;;;;;;;;;;;;;;
393;roek;Roek;;;;;;;;;;;;;;;;;;;
394;zwarte kraai;ZwKraai;;;;;;;;;;;;;;;;;;;
395;bonte kraai;BonteKr;;;;;;;;;;;;;;;;;;;
396;raaf;Raaf;;;;;;;;;;;;;;;;;;;
397;spreeuw;Spreeuw;spreeuiw;;;;;;;;;;;;;;;;;;
399;huismus;Huismus;;;;;;;;;;;;;;;;;;;
400;ringmus;Ringmus;;;;;;;;;;;;;;;;;;;
402;vink;Vink;fink;;;;;;;;;;;;;;;;;;
403;keep;Keep;;;;;;;;;;;;;;;;;;;
404;europese kanarie;EuroKan;;;;;;;;;;;;;;;;;;;
405;groenling;Groenl;;;;;;;;;;;;;;;;;;;
406;putter;Putter;;;;;;;;;;;;;;;;;;;
407;sijs;Sijs;sijsje;sijsjes;safe;feestje;;;;;;;;;;;;;;;
408;kneu;Kneu;kneutjes;kneus;nu;;;;;;;;;;;;;;;;
409;frater;Frater;;;;;;;;;;;;;;;;;;;
410;barmsijs spec;BarmSpec;;;;;;;;;;;;;;;;;;;
412;kleine barmsijs;KlBarm;;;;;;;;;;;;;;;;;;;
415;kruisbek;Kruisb;;;;;;;;;;;;;;;;;;;
419;goudvink;Goudv;;;;;;;;;;;;;;;;;;;
421;appelvink;Appelv;;;;;;;;;;;;;;;;;;;
425;ijsgors;IJsgors;;;;;;;;;;;;;;;;;;;
426;sneeuwgors;SneeuwGrs;;;;;;;;;;;;;;;;;;;
429;geelgors;Geelgors;;;;;;;;;;;;;;;;;;;
435;dwerggors;Dwerggors;;;;;;;;;;;;;;;;;;;
438;rietgors;Rietg;;;;;;;;;;;;;;;;;;;
440;grauwe gors;GrGors;;;;;;;;;;;;;;;;;;;
443;oeverpieper;Oeverp;;;;;;;;;;;;;;;;;;;
444;pontische meeuw;PontMeeu;;;;;;;;;;;;;;;;;;;
445;geelpootmeeuw;Geelpmeeu;;;;;;;;;;;;;;;;;;;
447;noordse stern of visdief;Nrdse/Dief;novi;vino;novy;noordse star nog visdief;logi;movie;novy;pino;;;;;;;;;;;
